YEAR PLANTED HARVESTED YIELD/ACRE TOTAL_PRODUCTION
1990 3,100 3,050 34.0 103,700
1991 2,900 2,850 31.0 88,350
1992 2,200 2,150 38.0 81,700
1993 1,950 1,820 31.0 57,970
1994 2,450 2,350 33.0 76,375
1995 2,950 2,880 27.0 77,760
1996 3,000 2,940 27.0 79,380
1997 2,700 2,570 22.0 56,540
1998 3,000 2,950 32.0 94,400
1999 3,450 3,000 24.0 72,000
2000 3,250 2,900 27.0 78,300
2001 2,200 2,100 26.0 54,600
2002 2,100 1,950 25.0 48,750
2003 2,000 1,980 29.5 58,410
2004 1,750 1,600 33.0 52,800
2005 1,980 1,950 35.0 68,250
2006 1,300 1,260 25.0 31,500
2007 1,480 1,460 29.5 43,070
2008 1,800 1,690 25.0 42,250
2009 1,650 1,570 39.0 61,230
2010 1,800 1,780 37.5 66,750
2011 750 715 25.5 18,233
2012 1,340 1,330 32.0 42,560
2013 790 765 38.5 29,453
2014 840 795 35.5 28,223
2015 1,090 1,075 39.5 42,463
2016 1,460 1,440 40.5 58,301
2017 1,260 1,205 24.0 28,920
2018 1,100 1,075 39.5 42,463
2019 720 610 42.5 25,925
2020 910 900 39.0 35,100
2021 880 820 24.0 19,680
2022 790 780 40.0 31,200
2023 905 865 37.0 32,005
2024 1,120 1,085 44.0 47,740
